[0, "we break dance not hearts by Short Stack is my ringtone.... i LOVE that !!!.....\n"]
[1151, "*at * can't wait 2 see my GOLDENNNN!!!\n"]
[1152, "\"// on friday i got back my 3 things\n"]
[1153, "/me has to skip high  reunion\n"]
[1154, ":  #unfollowdiddy for that shiny suit i had in middle\n"]
[1155, "*YAWN* im getting tired   summer  in the morning :'( KILL ME NOW ! and then i will have to go running afterward! *PEACE LOVE&amp; OREOS*\n"]
[1156, "\"*Yawn* Some days I wish I am far away from . Mostly on PE days\n"]
[1157, "*yawn* Time for *streeeaachh* !\n"]
[1158, "\"*yawn* Tired.. getting ready for\n"]
[1159, ":/ home from  not much to do\n"]
[1160, ".. i am going to fail my art final. FML. this was by far the worst semester of my life  wise- otherwise it was the best\n"]
[1161, ":S everyone's done with ...but I'm not  sucks!\n"]
[1162, "... Back to  already...\n"]
[1163, "/sigh I seriously hate not having .. Im so bored.. Gears can only entertain me for so long..\n"]
[1164, ": getting ready to head off to .\n"]
[1165, ":'(  makes me sad. But then I think of getting my eyebrow pierced and going to warped tour. It makes me feel better\n"]
[1166, ":/ exam weeek at   (N) not gudd\n"]
[1167, "@ im not ggoing to change it quinny   Righty oh im off to get some sleep got  tomoz  im getting credit aswell when i come home x\n"]
[1168, "@ my cousins high  graduation. She'll be leaving for columbia university soon\n"]
[1169, "; i hope mcfly come to canada ! i really do it would make my world - well guess i should get ready for\n"]
[1170, "@  bored to death reading a story about retarded kids... Now that's what I call creepy\n"]
[1171, "@  so early!!!  i wish i can sleep during work... so tired rite now and sleepy\n"]
[1172, "@  with my friend Vida  we're waiting for people to show up. Haha\n"]
[1173, "\"@\n"]
[1174, ";Revisionz in  and now moar revisions at home  hope my mum gets that 19' display if she can! Can't wait till tomorrows over.\n"]
[1175, ".....still extrenely happy even though  is so boring!\n"]
[1176, "@ TraceCyrus HEY Trace! Im skipping  on June 10 just to watch your show  Cant wait to see you guys :&quot;&gt; )\n"]
[1177, "...and then bitches whisper in the bathroom  is this high ?\n"]
[1178, "\"...day in . Now we're just gonna travel and clean\n"]
[1179, "@_andre1313 i know right?  is blahh.. but atleast we both have about 3 months off\n"]
[1180, "...les than 70 days till i am back at\n"]
[1181, "@_ArtyTart_ Im still at   about to go home!! xx\n"]
[1182, "@_Chelsea_Marie this time difference is crazy. You're so lucky haha! full day of  for me  London sucks.\n"]
[1183, "...went to a lot of places today. I miss going to .\n"]
[1184, "...with all things to catch up in\n"]
[1185, "@ his  friend Micha from Liverpool: is that correct? But Michael S. is afaik not here on twitter\n"]
[1186, "@_comtesse hate you so bad cuz I was thinking the same but high  was the time\n"]
[1187, "..classes all day..back to back.. I haven't had a real summer since I graduated high\n"]
[1188, "@ my friend's house using his wifi. Visited the  today. It was nice to sit down and have lunch at the caf. Kinda missed the\n"]
[1189, "@   at least last day!!!!!!\n"]
[1190, "//surveys.polldaddy.com/s/F3C8BB4DAC58D58A/ - Poll for getting Edu-views of 1:1 laptops in s - thanks to those that have replied\n"]
[1191, "@ work... Very busy and happy to see an old  friend\n"]
[1192, "@@ ...last study group sesh before i head into finals!! lets get that degreee...haha. k FOCUS!\n"]
[1193, "\"@__Mary__x3 Yaa\n"]
[1194, ":'( another day in the shite hole called westfield  i predict another detention for games  Prefect duty at lunch too:/ stay home (Y)\n"]
[1195, ":'( I feel sooooooooooooooooooooooooooo sick it's unnacceptable :L I don't wanna go to  tomorrow\n"]
[1196, "\":o its monday now\n"]
[1197, "\":s have been appointed to drop my sister off at\n"]
[1198, "; at  !    working on music projectt        Chilling With Tino And Rozzzz\n"]
[1199, "\"; hating sunburns\n"]
[1200, "\"; mummy\n"]
[1201, "\";; ugh\n"]
[1202, "\"@_Chelsea_Marie Yeah he does\n"]
[1203, "@ class doing a  work! lol\n"]
[1204, "\"@_elliee haha yeah\n"]
[1205, "@_MisterG Well Hope at your  it's not a procession of middle-class kids getting on buses and working-class kids staying on site\n"]
[1206, "@_MoisesArias  aww blessss same with me i have  tomorrow...\n"]
[1207, "@ NESBU:  I MISS YOU ALL  Sana nasa isang  lang tayo lahat!\n"]
[1208, "@ no more going out on  days   &lt;3\n"]
[1209, "@_Tonii yeeeeeeeeeeeah contdown  I'm soo happy! &lt;3 Today: 2nd concert! hope it will be as great as tomorrow! ciao\n"]
[1210, "@   6 other subjects left for today\n"]
[1211, "@  again\n"]
[1212, "@  in the computer room just a little bored\n"]
[1213, "@  waiting for class to start....ugh....I need COFFEE!!!! LoL\n"]
[1214, "\"@\n"]
[1215, "@ ...wanted to say hello\n"]
[1216, "\"@_jenniifer prob. more here too\n"]
[1217, "@0zark yeah I have to go home... I'm still at\n"]
[1218, "@__cinnamon__ hey! haahaha  tomorrow thank god its frida i heea miss wetherall did the cat today  oh im sad i missed it haha\n"]
[1219, "\"@13BeatKing im average height\n"]
[1220, "\"@_RosalieCullen_ Ok\n"]
[1221, "@_sandy Why so early? Summer?\n"]
[1222, "@1jaredPADALECKI hey yeah u do look sexy but i like u more when u smile  anyway just wanted to ask u have you ever run out from ?\n"]
[1223, "@1planet1people mid-year exams...its the middle of the  year...he'll have more in Nov\n"]
[1224, "@_carloslopez_ I'm almost done with  let's get sushi soon\n"]
[1225, "\"@_spell I love u. &amp; I was there. You just didn't notice me in high .  I wasn't pretty enough for you. :\n"]
[1226, "@2NiteBoy dunno... just don't feel well today  but I HAVE to go to  'cause of the test :/\n"]
[1227, "\"@2NiteBoy i can't!  i'm just a 13-year old girl who's just in the 1st grade :') aight dude\n"]
[1228, "@2NiteBoy my life is okay.. s almost over but I miss you and yas  whaa life is HORRIBLE!!!\n"]
[1229, "@30STMluva. I'm so depressed cuz today was the last day of ! This sucks soo much!\n"]
[1230, "@3BoysMommy oh my...I couldn't imagine high  these days... And think how trendy it will be by the time your little ones get there\n"]
[1231, "@_kate21301427_ Hahahah!! i hate  seriously.. its so rubbish all this week were been doing tests its like ahhh\n"]
[1232, "@_Mattie_ no  6 more weeks of  UGH. Are u enjoying ur holiday then?\n"]
[1233, "@4everaddicted haha i know xD i dont want to study for\n"]
[1234, "\"@_michaeldavid I envy you\n"]
[1235, "@6picas aww no!  I guess grad  is a good jump thought.\n"]
[1236, "@_rosieCAKES around here... lol eventhough i got accepted to  in troy im gunna stay in my area for now...\n"]
[1237, "@7AB why is the chat so late? I'm still in !\n"]
[1238, "@_shannon1234 ;Planning on going after  sometime!  I hate spiders too! I usuallty get Elaine or my dad too kill them! Lol!!\n"]
[1239, "@19Alice95  well.. main ..like the  before s.. hard to explain.. i dun live in the US  .\n"]
[1240, "@Abbie_xD Knew you would love them!  Im actually at the law  at the mo and just printed off loads of artricles I have yet to read...\n"]
[1241, "\"@Abe_Frohman ha ha ha!! cock\n"]
[1242, "@1RzhaneR1 Wishing you the boundless joy of summer break! Are you out of  yet? What are your plans for the summer? Let us know.\n"]
[1243, "@337photoslee haha. Naw not even. Just been busy with . I graduate in september\n"]
[1244, "@3fingaz i get my twins up at 6:30 for ...then once they gone i gotta start my work...i really have a shit load to do 2morrow\n"]
[1245, "@3banana3 2morrow is tha first day of the last full week of  I'm kinda sad\n"]
[1246, "@3eb I wish you guys were playing near Sacramento! I have  and work so I wouldn't be able to go out to San Jose or LA\n"]
[1247, "@675Bar: You too. I've got to justify my art  degree somehow.\n"]
[1248, "\"@adelate Heh\n"]
[1249, "@7spitta I wish I could head down there 4 good....gotta finish  tho\n"]
[1250, "\"@adiktusnine LOL yeahhh anything to skip   but sometimes being absent just gives us problems\n"]
[1251, "@510boss I know  was pushing the truth of suicidal B to no avail. Not my fault this time! She only read it cause everyone at  was.\n"]
[1252, "@adlyx better than no high  degree\n"]
[1253, "\"@606ItsYourTweet Izzy\n"]
[1254, "@adriwadri just remember I'll be in  the week you start and then the next week I have exams so you aren't alone in\n"]
[1255, "@aaatics yepyep i will miss my high soon\n"]
[1256, "\"@afeekwok aw  you're so cute. heh that's how i felt when i graduated from my elem . its ok\n"]
[1257, "@AaL17 aww thats just two days after our  lets out   thats not too bad!\n"]
[1258, "@afreshmusic 43! I got 'd!\n"]
[1259, "@abales  Indeed! Wish we could find 3 missing Silah boys kidnapped from my daughter's  07/08 http://tr.im/j4kO\n"]
[1260, "@Abbie_Judd : cool.  I have to do so much for .. but I'm too lazy.. God!  xx\n"]
[1261, "@ahmednaguib But looks hella wicked. Reminds me of the old  text based games from when you were not even a thought\n"]
[1262, "@abcjan11 I wish I could take summer\n"]
[1263, "\"@Abi_Rose In meadowhall at the apple store\n"]
[1264, "\"@AidenPappas It Shouldn't be as bad as COD4!\n"]
[1265, "@abbeytintin omg i knowww!!! i loved her she was sooo  pretty! abbeyyyy why werent u at ?! i missed u  lol xxx\n"]
[1266, "\"@abirtmo i've been well! how about you? ya i heard you guys were in town the day of your show\n"]
[1267, "@ajphizzles didnt come to  today bc he was too 'occupied' in the bathroom.\n"]
[1268, "@absolutelytrue back to secondary  and actually make an effort\n"]
[1269, "@AcePower  is there no chance to pay your  by installments or after graduation? scholarship? credit?\n"]
[1270, "@AK618 what about berkeley?? Cal is a great  and close to SF  what's wrong with sfsu?  what's de anza?\n"]
[1271, "@acrylicana  I'm trying... I forget how... stupid  being so long ago!\n"]
[1272, "@akjava  Yeah..  over.   Now just suffer through getting your butt handed 2 u in baseball all summer\n"]
[1273, "\"@adam_lewis she starts high  next year  oh how time has flown\n"]
[1274, "\"@adamariee hahaha yeah\n"]
[1275, "@alaniacovington we're great! I start grad  in July... moving the Beantown...\n"]
[1276, "@adeezyy yes i'm ok just eh lonely!  i miss .\n"]
[1277, "@adlyman haha im doing well  im jus about to go get my report card from . then im going to a wedding laterr! haha wbu?\n"]
[1278, "@adrenaline__ In the Czech Republic until next week  ....But I'm not going to  next week\n"]
[1279, "\"@albertleefizz ERP software\n"]
[1280, "@Addctd2candy ooh yall went to vegas  im really sad i coulda left  lol\n"]
[1281, "@adembroski Yeah I like it. that is what I have wanted since 1996 and we were stuck with white pants  I prefer the old  49ers look.\n"]
[1282, "\"@AdieJonas i wish i could just quit lmfao. sadly\n"]
[1283, "\"@adweebs me too   of all sessions to miss\n"]
[1284, "@AlexAllTimeLow cries. wont get there in time after\n"]
[1285, "@adlinanur alahai penat macam first day of  pulak. selamat malam.\n"]
[1286, "\"@alexalltimelow same here\n"]
[1287, "@AestheticEsther What r they not doing? Lol..my  is doing big things...trying to blow up! haha..they need to tho so u can transfer!\n"]
[1288, "@affrodite No worries.  I've been in grad . I understand COMPLETELY.  Thanks for putting us in contact!\n"]
[1289, "@alexiaaa  = shit; know the feeling bby. wish we could just all escape together right now and never have to go back.  (LLL)\n"]
[1290, "@AE3nn recycle challenge seems to be wide-spread.  Got wrappers in my WHITE PAPER only bins  at\n"]
[1291, "@alexthefob1991 haha yeah im ok. gotta head to  in 20mins\n"]
[1292, "@AFROdeesYak who's ur date? and no our  doesnt have prom\n"]
[1293, "@aestheticpov haha i totalllllly AM....i love ! maybe thats why i should be a teacher\n"]
[1294, "@AfterSchCraze heyyy i was wondering where did you find the article about after  getting a new member again..??\n"]
[1295, "@AliaIsahak -.-' NO FAIR! haha. which  did you transfer to? :S why did you anyways?\n"]
[1296, "\"@aherocomeshome (I wasn't finished\n"]
[1297, "\"@ahmedzainal He'll  join british  next yr\n"]
[1298, "@alisonedge hector isn't gonna be in  after we get back\n"]
[1299, "@AimeeLady @BethanPie @Kat_La   Mwah!  ((HUGS))  I am great.    Getting  the kids off to ...\n"]
[1300, "@AimeeLady Lived on GC for most primary   So Broncos and QLD.. but I don't even watch. Just like to piss Syd-siders off\n"]
[1301, "\"@alissandra thanks   right now it is just baltimore county s\n"]
[1302, "@AimeeLady nope no  for me  everyone but WA has tomorrow off. so i can sleep in yayyyy\n"]
[1303, "\"@ainazhar Nope nope\n"]
[1304, "@aimizubouken @nazra hehe..yup that the format for writing formal letter..learn it at\n"]
[1305, "@Allanahk thanks for leaving a comment on my blog about our s journey to implement NZC  much appreciated\n"]
[1306, "\"@aisy yeah it isnt.  I went all out in soccer this year\n"]
[1307, "\"@aisyaj Oh\n"]
[1308, "@AllieB29 Miami. Horatio is too cool for  and Miami looks like a perfect place to be right now! I'm ok thx- how about yourself?\n"]
[1309, "@alliejsmith that's awesome! I can't fit in any of my dresses from high .\n"]
[1310, "\"@AllieW I went to catholic  my whole life\n"]
[1311, "\"@aiyiyidude NOOOOO!  why\n"]
[1312, "@ally_caat haha thats cool. so ya we'll watch that after . then go to graduation\n"]
[1313, "@alaezel_naig I'm fine! Hbu? And hows your high ?\n"]
[1314, "\"@AK618 no\n"]
[1315, "@alopink my started five yrs ago this month during summer   aww sad story\n"]
[1316, "\"@alancostello I know how you feel. Loads of my friends are getting on it\n"]
[1317, "@alannahJc oh i just mean at my  we don't do it\n"]
[1318, "@AlexaHohenberg Horrible images of the bus driver I had at  running through my head\n"]
[1319, "@AlexAllTimeLow  finishes at 3pm &amp; public transport sucks here so by the time i get there the signing will be over  boo. JUNE 5!\n"]
[1320, "@alexandraduggan Too bad we didn't shoot some hoops while you were here.  That would have been fun.    You'd have ed me.\n"]
[1321, "@alexacaffrey miss you  get out of summer  and be my friend again. we're thinkin about a road trip for my bday weekend. u in?\n"]
[1322, "\"@AlexAllTimeLow dear\n"]
[1323, "@alexalltimelow if u guys have nothing on this week come visit me at . seing as I can't visit you\n"]
[1324, "@alexandramusic we (L) u!! I've been stuck in   hah. How long till the album drops?\n"]
[1325, "@AlexaSheridan I was chaperoning a peer counseling group retreat from my high .  There's no hazing or anything..just good clean fun\n"]
[1326, "@alice_cullen53 i have  soon\n"]
[1327, "@AliceCullen4 Yay!! hunting what did you catch?? I like france (: IRL. That sucks  my sister is sick too &gt;.&lt; real bad! i had  &gt;.&lt;\n"]
[1328, "\"@aliciastacy3522 Oh\n"]
[1329, "@Aliciaxx...A can of Dr Pepper! Is any 1 else watchin this old- hammer house of horror film on BBC2? Creepy! Go Donald Sutherland!\n"]
[1330, "\"@alisaloki girl\n"]
[1331, "@amandabree I took the girls to a fabric store that has a talking parrot in a cage after I picked them up from . They liked him\n"]
[1332, "\"@alix_says\n"]
[1333, "@AllenElroy - I Bet Jane Henry's stupid ass calls this when i give her shit at\n"]
[1334, "\"@amazingphoebe tomorrowwww\n"]
[1335, "\"@amber_benson i have the same problem\n"]
[1336, "@ALLS_Garrett fun   fun...but at least you don't have to sit in  all day doing pointless work..i want to go home and go back to bed\n"]
[1337, "@allthatsugar: aww mwn im missing NYC Prep!!  and Gossip Girl is based off my sis-in-laws ! they film there\n"]
[1338, "@ameeraaa__ ii was also at . =] haha was just reminding you in case you forgot.\n"]
[1339, "@Alyalz bye  hope you're gonna have fun @ . chat later\n"]
[1340, "@alyshaathia My darling.. How are you? I miss you  please do visit !\n"]
[1341, "\"@anastaciakayray me too\n"]
[1342, "@anastasiagates that was more geared towards the high ers.\n"]
[1343, "@anastasiam I would've thought that could be quite fun .... you could make up loads of  wrong stuff to tell the kids on  trips\n"]
[1344, "@AndraeRaMone nooooooooooooo!!! don't talk abt my  like that...\n"]
[1345, "@amelia_walker dw lol it snds like u had the best time. I'll ring u tonite. I'm off to  4 exams nw  laaavee uuu\n"]
[1346, "@ammiisaurusrexx haha yer I didnt think he was at  today cause he  got knocked out while playing afl  and I didn't burn it soup!\n"]
[1347, "\"@amorousmusings but not &quot;hurt you the most\n"]
[1348, "@Amsville And tomorrow at #2M09? What's your program? We should chat up my friend  Aren't you in Amsterdam or is  finished?\n"]
[1349, "\"@Amy617 i know mee2\n"]
[1350, "\"@amyamyamyy haha me tooo. i love all these techno sounding music  i'm not going to  today\n"]
[1351, "\"@amycarr92 hey\n"]
[1352, "\"@AmyKNelson yes\n"]
[1353, "@AmyQcoocachoo ugh .. never go anywhere at that time of day when  lets out.   wine o'clock now?\n"]
[1354, "\"@andrewtleung Good luck drew\n"]
[1355, "@AmyVee not having fun.  isnt fun\n"]
[1356, "@AmyyA Either can't I !:O Saturday AND Sunday I'm with Chloees  !! Maybe after   ?\n"]
[1357, "@anaga_by for what?? ?? ... August 15\n"]
[1358, "@andyagustin ive been ok. just verrry busy. i go to summer   then im off to israel. what have you been up too?\n"]
[1359, "\"@andyclemmensen awww is the secret going to suck\n"]
[1360, "@Anarchy9 I just took one.  got home from  finally! Gonna go to sleep soon. Gnight!\n"]
[1361, "@AndiPandi6t9 just read my latest tweet.  I have to go to  tomorrow. Wah.\n"]
[1362, "@andreasaysjump Just can't understand why you chose to be homeed.  I really miss you. Everyone's looking for you. :]:\n"]
[1363, "@Andrew_Hogsten yeah yeah hence why this dress will be packed when I go to my high  reunion in September\n"]
[1364, "@andrewgoldstein awesome show  thanks for the pictures. i still say you should come by our high  sometime\n"]
[1365, "\"@andrewturner thought there was a particular software other then TweetDeck for Linux...will get Air on there later\n"]
[1366, "@AndyPalmer cheers - sometimes I fall into these old- habits\n"]
[1367, "@andyclemmensen you called me today but because i live in w.a i was still in   please can you call me again? xxx\n"]
[1368, "@AngeLa_aA so far so good. hehe. how's ? uda transfer ke fidm kan? havin fun?!\n"]
[1369, "\"@angelarrr @angelarrr  I'm sorry. If all else fails\n"]
[1370, "@AnhHoang We're glad too!  SO you think you'll make it to one of the s then? You have a ideal candidate?\n"]
[1371, "@angelneptustar  cameron is a toff as well def a public  boy\n"]
[1372, "@aniqa_x ha! yeah was alright! my sisters went shopping in london but i couldnt go cos i had !!  and i already missed last week lol\n"]
[1373, "\"@Anna__007 just sitting in  and instead of doing a summary\n"]
[1374, "@annabadtzmaru u worked all day?!??!  ugh  again 2moro! &amp; i cant go to the party! i work until 7 that day ((\n"]
[1375, "\"@angsavestheday oohh\n"]
[1376, "\"@angwe no\n"]
[1377, "\"@anieszkaa hello how was\n"]
[1378, "@Annazhou aannnna i miss you! s not the same anymore\n"]
[1379, "\"@Anitta_ yes\n"]
[1380, "\"@annachloekim hey! me too! I thought you were already in ...well\n"]
[1381, "\"@anngh Yeah\n"]
[1382, "@Anonymousboy03 Plans for  stuff &amp; a performance of Othello we're gonna watch on Thurs. &amp; I hate that happening with Photography!\n"]
[1383, "\"@Ant_Fresh haha i used to have a sign in a shape of a key that said\n"]
[1384, "\"@alisonrulezd00d since 2 years ago. Lol\n"]
[1385, "@allieloves  fancy jumping off the observatory at  on study leave day with me?\n"]
[1386, "@aplusk unfortunately you may not have to as they are learing it earlier and earlier in . My daughter is 12 - god help me!\n"]
[1387, "\"@aquaxpuni Ha ha... anyway back to the topic\n"]
[1388, "@apriljapzon hey april! how's ? cmc padin?\n"]
[1389, "@AprilLeRockStar Come visit me my Aprizzle! You need a vacation from  and work!  I know you wont. I'll  be home to visit this fall.\n"]
[1390, "@arbonnetally can't tues night--got puppy    what's going on tues?\n"]
[1391, "\"@ArcaneDollface Haha\n"]
[1392, "\"@arisemedia its so nice to be back at work\n"]
[1393, "@arenadamian .  i'm so not excited. i mean who's going to be excited with the kind of weather we have right now? it's so rainy. haha\n"]
[1394, "@arnleeeezy is it because of  or her parents?? richard &amp; george showed me your music before\n"]
[1395, "@alroaker Loved the comment on flashcads! I'm old  too!\n"]
[1396, "@arthur01022  loves you.\n"]
[1397, "\"@ArianeBarbs lol  thaankyouu dear. are you going to  in the Saturday btw? so\n"]
[1398, "@ashleigh92 same baby  im gonna meet you after  wed ;o i love you xxx\n"]
[1399, "@ArinIsLove college business has gotten me busy a while.  starts tomorrow. and i'm bummed.\n"]
[1400, "@ArmyWifeyDebbie I had not time to read that article today. I can imagine what it says from cover. I'm old ..big adjustment for me\n"]
[1401, "@ashlovesLA I'm looking to go to massage  and I wanna perform. I refuse to be a cashier for the rest of my life. Good night\n"]
[1402, "\"@amandapones well that sucks haha\n"]
[1403, "@amaracampisi aww your gonna be a high er\n"]
[1404, "@AshDaPrincess chill its da rihanna bob. If it was 16 in I'd have no problem!!! Lol. R u at  all summer\n"]
[1405, "@AspaPhoto Ahhhh \\you are soo smart  Thanks for this ing of thoughts  Have you taught before?\n"]
[1406, "@astrylnaut me too  why can't  just end alrdy?\n"]
[1407, "@ashleno @RylandWebb  i really wanna go... but i needa save money for ies + formal\n"]
[1408, "@ameym21 aww  did you have a good day at  at least?\n"]
[1409, "\"@ashleyac nice. I'm at URSU\n"]
[1410, "\"@AutomaticInez In a way\n"]
[1411, "@Asiskos aww thanks&lt;3 i feeel sooo much better now. i might even come to  tomorrow and cough on you\n"]
[1412, "@awesomenessjen @stePRINCE LOL! I KNOWWWWW!! I want a week of no .\n"]
[1413, "@AxelleVanVliet yeah i have to work after  ASWELL (((( i have 4.5 hours til i am allowed home\n"]
[1414, "@aybmj i hate  too  and it's a long day tmr.\n"]
[1415, "@Astrology_ca You are very wise. Of course a little TRAINING would help too  We have mystery s but everyone wants &quot;instant&quot; sheesh!\n"]
[1416, "@At_The_Sky_line summer  sucks I'm sorry\n"]
[1417, "@athensky i am so effing confused as of how the messaging works on here.  they're just gonna kick me out of  for some of this\n"]
[1418, "@azuleado My Dad is Puerto Rican. I speak very little spanish. I learned a lil somethin' in middle  &amp; high .\n"]
[1419, "\"@b_club I graduated law  just a year ago\n"]
[1420, "@Audio_Rush oh wells. i can complain all i want now aboutt . i want to be out already\n"]
[1421, "@babymakes7 Not sure.. fever and he threw up his lunch on the way home from . Poor little guy looks miserable.\n"]
[1422, "@aussiecynic is it? why? well then indonesian  could be a great place for me at this point\n"]
[1423, "@ayekaygee that's when I have a break for  though\n"]
[1424, "\"@Ayna89 Yes\n"]
[1425, "@ayubella yup. im online!! just got back from .\n"]
[1426, "@Batrock high  didn't even have wireless!! So I'd be just a high  dropout\n"]
[1427, "\"@baaatt ..this year. i leave  in like 2 weeks.  &amp; im good\n"]
[1428, "\"@baditz17 hahaha! cali\n"]
[1429, "@baf03 hi steven! man it's only been a week and i'm ALREADY behind on  work\n"]
[1430, "@bahhhhh aw damn  loll no...I'm too lazy to go and give my CV xD  *is that an English word?* I might do that when 's over :/\n"]
[1431, "\"@BANDITNATOR haha yeah\n"]
[1432, "@bdotscotts it was my last day of classes   high  is over\n"]
[1433, "@BariJ No I was a dental Assistant and a Receptionist in a dental practice. I wanted to go to Hygiene  a long time ago tho\n"]
[1434, "\"@beautymoogle I am!  For Thomas Cooley Law\n"]
[1435, "\"@beccyhuxtable bet they are better than MY scones i made at\n"]
[1436, "\"@AmyAllTimeLow aw  ours start on thursday. thanks\n"]
[1437, "@bbyowls i cant afford it  go to  here ? !!\n"]
[1438, "@Beccaaarr hey  im in  atm ! *sigh ! u up 4 all of us getting going on kyte later ? paula wants us all 2 ! its been empy lately !\n"]
[1439, "\"@belsk i think i'm gonna lose it lose it lose it!! yeah friday night! lol but fuck\n"]
[1440, "@Bendaying I did have lots of fun but the fact that I have  tomorrow is entirely for the purpose of erasing the goodness.\n"]
[1441, "@beckycraig Oh yeah...well I shall be in  jammin'...to classical music...JOKESSSS...well actually I will be at some point\n"]
[1442, "\"@BeckyKingston Lucky you\n"]
[1443, "@bethdonald I'm at  still.  How did your diet go? I had a nectarine and some lettuce. (y)\n"]
[1444, "@Belinduhh I'm @ . Fucken boredddd in this annoying Math class\n"]
[1445, "\"@bevinkathryn Ok.  Yeah I think I'll buy MuggleNet's book after  tomorrow\n"]
[1446, "@bewarethegeek i just found out one of my fav high  professors died this week. he wasn't even supposed to retire yet\n"]
[1447, "\"@BellaNB Ahha pity u laa! So\n"]
[1448, "\"@biberli is it possible to have a group tab so you don't need to search a friend's fish\n"]
[1449, "@bengrey sounds like a great idea for sanity during the last few days of\n"]
[1450, "\"@bigbouquet Ah\n"]
[1451, "\"@bhaddad Good morning! It's the second in a line of\n"]
[1452, "@bianca_maria cool ;) have a gr8 day too ;) and a good week too  i'm gonna go to  now (: beijos and ummarmungs ;) xxxx God blessU ;)\n"]
[1453, "@Billy3G Well that's what  is about: getting your beauty sleep befor the long night ahead.  Been there done that &amp; Miss it!\n"]
[1454, "@biffgriff your guesses so right!! In  i'm known as &quot;little shy girl&quot; !! glad to know you too\n"]
[1455, "\"@big_tex_uk yh\n"]
[1456, "\"@bkkrakora ew\n"]
[1457, "@Blackberrygirl7 thank u I will - poor thing can't go 2 her last day of  2day\n"]
[1458, "@Blanie you went to  today??? :O come tmrw. ;) I have band. be ungrounded already!\n"]
[1459, "\"@Blazex3 i'm bored\n"]
[1460, "@BillBubbaBussey Rick is still old  text messaging\n"]
[1461, "\"@bloodyhurricane ms state. Ill be done in august. My gpa blows though\n"]
[1462, "@blossom1026 ure going to summer ?\n"]
[1463, "\"@BlowhornOz i goto  tonight also\n"]
[1464, "@blue_intheface  dont u mean GOO Lakers?  last day of  tomorrow!!!\n"]
[1465, "@bmaynorx3 i love you too! I will be  you too driving to and from  darlin! I'll be home thurs\n"]
[1466, "@bobby_todd But I am a beauty  drop out\n"]
[1467, "\"@BonBbyJess the  I was gonna apply for\n"]
[1468, "@bonesrecordz lol. I WISH. I gotta do my laundry for  n stuff..\n"]
[1469, "@bonolicious2 I know! There are some really nice ones by  but they're like 1K per month + utilities. Cheaper ones are kinda sketch\n"]
[1470, "\"@BisForBecca Senior Tie  Cant believe it\n"]
[1471, "@bradiewebbstack shutup  i have ; but i hav a chicken sandwich  i think you should totally reply since i have to go to\n"]
[1472, "@bravesgirl5 8:45am is early?.. in high i had classes starting at 7:50am! haha\n"]
[1473, "@BreannaBanana13 http://twitpic.com/6ef7t - Awesome pic bre!  I have classes all ths wk 4 colorado so I have to go to  from 12:3 ...\n"]
[1474, "@BlackMambaSwag I'm great!!! my lili cousin graduated from high  today *tear* I'm soooooo proud of her\n"]
[1475, "\"@brettio ... oh my goodness\n"]
[1476, "@bloggerdad yup! Not as bad as pre fulltime  but 3 nights a week still\n"]
[1477, "\"@boagworld Oh\n"]
[1478, "@bobbiandmike .. i was the worst speller in . i always had a D. so sad.\n"]
[1479, "@BrittneyCash H-town. I'm going to focus on  the first semester at least so I can get into the honors college  I'm on hold atm haha.\n"]
[1480, "\"@brittpols I have odd notions of fun\n"]
[1481, "@britttnicole The same with me but I still have to go to\n"]
[1482, "\"@bobbyllew I really enjoyed latin\n"]
[1483, "@BrodyJenner happens to me all the time.. brain is still in  mode.\n"]
[1484, "@bonjourcourtney yeah she has  fucking ppl in our fucking  need to get over themselves. im sick of it\n"]
[1485, "\"@BOOGZBOOGETZ I'm just workin on some homework\n"]
[1486, "@amyjjohnston Sounds like you need to see #StarTrek tonight  I'm finally going to see it tomorrow...with preer hard to see movies!\n"]
[1487, "@AmyKachurak so here's my dilemma... I really don't want to get razzed by our team or the other team... flashbacks of elementary\n"]
[1488, "@Boss_Cee Hope you have a good day at   Your almost done WoooHooo\n"]
[1489, "\"@BrynnJolie nice! Thanks for the recommendations! ended up with a case of fat tire &amp; rootbeer\n"]
[1490, "@BTiz82 Don't rub it in!!! I am at  and going to miss most of it wk b4 finals\n"]
[1491, "\"@bubbly84 i seriously used to know it basically line for line. &quot;your  has no gymnastics team\n"]
[1492, "@buboxxpanda: no lol i've been one since high\n"]
[1493, "@buffyjhamilton nope..moviemaker does not recognise mpeg4 files - and that's the common program on all the  computers\n"]
[1494, "\"@andrea_olivares haha amen. Lucky you\n"]
[1495, "@bunz23q i know everyone must be so bored at  without me i left and i took the fun with me  whens melbourne?\n"]
[1496, "@andrew_burke Awe thanks! Oh but I do  no longer a high er as if last night! College bound!\n"]
[1497, "@Brantanamo hoooooooooooooooooooolla! haha how are yoou?  *-* i'm going to  now  love xxxxxxxxxx\n"]
[1498, "@andrewfasano Why are you at ?\n"]
[1499, "\"@AndrewThomas89 You lucky.. person... I'm back at  tomorrow\n"]
[1500, "no  times for sunday!  Rats will have to plan tomorrow. I guess this means I have to work on those two  presentations I am doing!\n"]
[1501, "\" @yhf What happened to s\n"]
[1502, "I've always seen bits &amp; pieces of Shottas. now I've seen the whole ...it ends sooooo sad   I'm gonna cry.\n"]
